KICID,numax,numax_err,dnu,dnu_err,Yu_Teff,Yu_Teff_err,ra,dec,parallax,parallax_error,GAIAmag,Ag,e_GAIAmag,Kmag,e_Kmag,ccd,b17,Ebv,Aks,Z,Teff,Teff_err,M_Clump,M_Clump_err,R_Clump,R_Clump_err,A_numax,A_numax_err,A_dnu,A_dnu_err,A_fdnu,A_fdnu_err,[Fe/H],Log Age
8526108,41.47,0.6,4.6110000000000015,0.073,4856,80,301.2391295368186,44.5466943309832,0.7890889800276273,0.026790678921994104,11.280366,0.395,0.01,8.777000000000001,0.016,13,0.17257515,0.15186612,0.027784599,0.01970264405754248,4865.4,77.9,1.39,0.12,10.63,0.41,41.293,0.009,4.522,0.011,0.9988,0.0143,0.05,3.339
8540615,48.2,1.76,4.715,0.031,4889,80,282.5224049501449,44.69877342492943,0.5417264596413509,0.029482878066217105,11.670077000000001,0.065,0.01,9.558,0.011,7,0.047439605,0.04174685,0.0076377764,0.014605771820562902,4899.1,79.6,2.04,0.25,11.91,0.5,45.585,0.018,4.678,0.009,0.998,0.034,-0.08,3.165
8540767,29.08,0.66,4.05,0.068,4913,100,282.59255845971296,44.601430170658205,0.6573016194454085,0.0252562648366739,11.553275,0.27,0.01,9.411,0.011,7,0.050653316,0.044574916,0.008155184000000001,0.00461875059376829,4883.3,79.0,0.82,0.09,9.74,0.43,28.198,0.02,4.0,0.004,0.9958,0.0117,-0.58,3.991
8540820,22.39,0.51,3.33,0.051,4830,80,282.61122222834155,44.673349895573,0.3975362153937433,0.028840779685771745,12.566074,0.048,0.01,10.399000000000001,0.011,7,0.03888543,0.03421918,0.0062605543,0.006230523114941585,4823.1,79.3,0.79,0.08,10.91,0.45,22.748,0.02,3.33,0.008,1.0075,0.0037,-0.45,3.922
8545861,45.71,1.05,4.801,0.02,4857,80,285.3673889780232,44.60485494612086,1.0981156587118617,0.025929298055247508,9.953053,0.568,0.01,7.881,0.016,6,0.034071356000000004,0.029982794,0.005485488,0.014273303863841584,4901.1,79.8,1.59,0.13,10.82,0.32,45.288,0.009,4.796,0.009,0.9972,0.011,-0.09,3.247
8547122,29.53,1.42,3.963,0.092,4817,80,286.067362077432,44.63756513681822,0.4171654314813947,0.020725698907575408,12.451157,0.048,0.01,10.284,0.011,6,0.045593765,0.040122513,0.007340596,0.0088008478224949,4831.4,77.0,0.9,0.16,10.16,0.7,29.253,0.018,3.971,0.013,0.9936,0.0076,-0.3,3.836
8547469,29.57,0.77,3.817,0.064,4936,100,286.2459940279568,44.6423970227048,0.5458706482337133,0.020405866370997488,11.86138,0.036000000000000004,0.01,9.62,0.014,6,0.045488715,0.04003007,0.007323683199999999,0.012721095458916823,4694.5,70.4,1.09,0.12,11.11,0.51,29.991,0.018,3.81,0.011,0.9886,0.0335,-0.14,3.669
8547653,24.42,0.85,3.472,0.183,4828,80,286.34987333260233,44.65322712832665,0.3879777398194204,0.020286990224088884,12.596785,0.061,0.01,10.464,0.016,6,0.038900778,0.034232683,0.006263025,0.006088699093946454,4850.7,86.5,0.86,0.21,10.92,1.22,24.81,0.035,3.62,0.018,0.9909,0.0328,-0.46,3.906
8552947,28.86,0.52,3.923,0.054000000000000006,4735,80,289.0790732138487,44.66296745774465,0.46009236520435204,0.022497555084460576,12.3109,0.04,0.01,10.075,0.014,10,0.05226387,0.045992207,0.008414483,0.012148551849336523,4757.3,80.5,0.86,0.08,10.06,0.37,29.375,0.036,3.953,0.014,0.9962,0.0082,-0.16,3.873
8555914,36.09,0.66,4.225,0.029,4737,80,290.2832202285347,44.624272235281445,1.3806424647257196,0.02639796705483461,9.963136,0.024,0.01,7.7620000000000005,0.017,10,0.045427844,0.039976503999999996,0.007313883,0.02016157759348526,4719.4,71.2,1.25,0.09,10.85,0.31,35.645,0.012,4.233,0.015,1.0044,0.0127,0.06,3.642
8558629,34.06,0.73,4.124,0.03,4810,80,291.2902950732125,44.68514581303058,0.3141387263654669,0.018750630870561998,12.955948,0.14300000000000002,0.01,10.582,0.014,10,0.09668179,0.085079975,0.015565768,0.012721095458916823,4837.5,82.8,1.18,0.1,10.82,0.33,33.663,0.029,4.108,0.009,0.9973,0.0121,-0.14,3.591
8558633,32.18,0.61,4.069,0.05,4985,80,291.29339492602367,44.613173279998776,0.3318500348794809,0.022007120207928527,12.914578,0.0325,0.01,10.699000000000002,0.014,10,0.10597615,0.093259014,0.01706216,0.0049490804273003815,5025.3,96.2,1.12,0.1,10.78,0.38,31.697,0.009,4.041,0.008,1.0,0.0191,-0.55,3.581
8565159,30.13,0.39,3.976,0.07,4728,80,293.84737155554905,44.623468379197824,0.341147515845727,0.0143334591849511,13.054883,0.428,0.01,10.546,0.015,9,0.12197754,0.10734023,0.019638384,0.0183875773037738,4726.7,82.6,0.92,0.08,10.22,0.42,29.754,0.009,3.9,0.014,1.0007,0.0072,0.02,3.833
8570577,40.51,0.6,4.484,0.034,4828,80,295.70116878347267,44.672215722334215,1.1209084415929556,0.026690914502570683,10.335393,0.1002,0.01,8.079,0.018000000000000002,14,0.108291894,0.09529687,0.017434996,0.015650366473628573,4817.4,75.6,1.44,0.1,10.95,0.29,40.348,0.009,4.456,0.01,0.9999,0.0093,-0.05,3.374
8580595,39.69,1.63,4.5680000000000005,0.126,4795,80,298.4216270588075,44.657486912220776,1.0851333523619104,0.049693718159392664,10.828676,0.4642,0.01,8.309,0.014,13,0.19109789,0.16816613,0.030766758999999998,0.02597314329623372,4820.0,75.5,1.23,0.21,10.27,0.73,39.933,0.027,4.524,0.017,1.0,0.0094,0.17,3.51
8591738,30.83,0.96,3.939,0.023,4561,80,301.55936533367037,44.61609516177365,2.031593206008294,0.03470933294574241,9.4267845,0.5197,0.01,6.86,0.018000000000000002,13,0.14059108,0.123720154,0.022635164,0.04116465799701783,4546.2,63.6,0.96,0.1,10.41,0.39,31.162,0.029,4.05,0.025,1.0025,0.0114,0.37,3.966
8607581,35.7,0.73,4.294,0.075,5055,100,283.64774528738496,44.71292039464439,0.9097288031325228,0.026706098421725482,10.618103,0.182,0.01,8.531,0.014,6,0.04652609,0.04094296,0.0074906999999999994,0.011079610969072192,4901.5,80.0,1.25,0.13,10.75,0.47,35.543,0.017,4.296,0.013,0.9955,0.0071,-0.2,3.553
8607620,30.18,0.71,3.916,0.053,4818,80,283.6814166517956,44.73446360661777,0.4543176026553379,0.024101348334042514,12.232595,0.0447,0.01,10.048,0.014,6,0.05129142,0.04513645,0.008257919,0.010580946331465722,4819.9,83.8,1.01,0.1,10.62,0.42,29.926,0.013,3.906,0.016,0.9853,0.0321,-0.22,3.679
8611114,33.26,0.89,4.067,0.121,4910,100,285.6451624804919,44.73577685246606,0.985739508905312,0.02112867213917656,10.613878999999999,0.0765,0.01,8.48,0.024,6,0.03722432,0.0327574,0.0059931153,0.011601776947013386,4847.7,77.4,1.2,0.18,10.99,0.74,33.327,0.013,4.251,0.01,0.9983,0.0099,-0.18,3.761
8611369,24.86,0.48,3.635,0.044,4795,80,285.76627078657987,44.70362555469349,0.3307492152880613,0.022066152642185796,12.771317999999999,0.134,0.01,10.595,0.021,6,0.04967434,0.043713417000000004,0.007997569,0.007153597678240219,4776.3,91.2,0.75,0.07,10.11,0.35,25.437,0.012,3.596,0.013,1.0058,0.0182,-0.39,3.91
8611833,38.59,0.83,4.115,0.033,5091,100,286.02616904661596,44.77330565819564,0.4757773390509169,0.018846440188108063,11.909429,0.627,0.01,9.657,0.012,6,0.041642547,0.036645442,0.00670445,0.028478985309622812,4713.6,70.7,1.91,0.16,12.77,0.41,38.314,0.009,4.086,0.014,1.0134,0.0194,0.21,3.301
8612811,32.63,0.73,4.168,0.016,5143,100,286.5528001744258,44.79038827897894,0.4789516413729559,0.02220183641261593,12.020809,0.1407,0.01,9.843,0.012,6,0.039741382,0.034972414,0.0063983626000000005,0.014273303863841584,4813.0,75.6,1.1,0.09,10.5,0.31,32.763,0.012,4.133,0.011,1.0017,0.0097,-0.09,3.741
8616844,35.99,0.59,4.249,0.023,4768,80,288.6820187775272,44.739507182613,0.4578909042451359,0.020743002828603103,12.262929,0.0725,0.01,9.969,0.011,10,0.05287171,0.046527106,0.008512345,0.015294120639628775,4762.2,75.6,1.22,0.08,10.72,0.28,35.674,0.009,4.189,0.013,1.0007,0.0107,-0.06,3.544
8618510,33.43,0.51,4.115,0.035,4771,80,289.4540847252692,44.77531246266727,0.4901647905106421,0.0194445654796686,12.1939,0.153,0.01,9.881,0.011,10,0.06880954,0.060552395999999994,0.011078335,0.01881587899997237,4756.6,72.9,1.11,0.08,10.63,0.3,32.724,0.009,4.123,0.012,1.0023,0.0123,0.03,3.777
8618653,44.55,1.07,4.592,0.105,4748,80,289.50452453161233,44.77932651842056,0.27869780717550513,0.012690375849529385,13.163707,0.522,0.01,10.763,0.014,10,0.07603566,0.066911384,0.012241742,0.04212350605798225,4706.6,78.4,1.69,0.21,11.39,0.62,44.919,0.011,4.663,0.013,1.0012,0.0074,0.38,3.326
8620449,37.12,0.71,4.289,0.058,4832,80,290.231233180714,44.72811210603218,0.695650178876621,0.028089685374338463,11.208012,0.13,0.01,9.006,0.011,10,0.046059545,0.0405324,0.0074155866,0.013320622217512469,4838.6,76.9,1.32,0.12,10.96,0.41,36.658,0.009,4.26,0.012,0.9981,0.0107,-0.12,3.463
8628585,36.62,0.57,4.166,0.027000000000000003,4829,100,293.31431555612215,44.71464149936167,0.5243002339180354,0.024713709001465644,11.941854,0.3023,0.01,9.574,0.022,9,0.09010457,0.07929202,0.014506836,0.02597314329623372,4742.4,73.1,1.42,0.1,11.47,0.31,36.34,0.009,4.137,0.013,0.9942,0.0324,0.17,3.439
8629927,34.35,0.96,4.177,0.042,4831,80,293.7992415475705,44.74506297475096,0.4429991211987119,0.020213427817427385,12.393414,0.152,0.01,10.029,0.015,9,0.07787171,0.06852710000000001,0.012537345,0.014945983950833729,4827.4,79.0,1.16,0.12,10.66,0.41,34.406,0.013,4.155,0.013,0.9998,0.0056,-0.07,3.602
8630006,36.27,0.87,4.227,0.032,4783,80,293.829370253239,44.72858991688987,0.4836808619237732,0.02321486789122489,12.146175,0.0927,0.01,9.808,0.015,9,0.09440361,0.08307517,0.015198981,0.016769669810536417,4787.9,74.4,1.28,0.11,10.96,0.36,36.183,0.009,4.205,0.008,0.9993,0.0061,-0.02,3.498
8669282,39.86,1.1,4.3610000000000015,0.033,4880,100,282.0232449234298,44.814129257022735,0.7586466470113636,0.029647457087626426,11.026116,0.13,0.01,8.854,0.022,7,0.036059793,0.03173262,0.0058056265,0.007665218014137314,4800.9,74.9,1.55,0.16,11.45,0.41,39.035,0.01,4.337,0.008,0.9983,0.0171,-0.36,3.359
8671819,29.89,0.71,4.003,0.06,5114,100,283.40709971829176,44.893218587308525,0.6139479837530764,0.02294243801399768,11.523381,0.019,0.01,9.426,0.013,6,0.040202923,0.03537857,0.0064726705,0.00637565064176298,4874.5,81.4,0.99,0.1,10.45,0.44,29.837,0.01,3.994,0.017,0.9945,0.0073,-0.44,3.784
8674581,29.84,0.42,3.873,0.046,4673,80,284.8947487997754,44.84723229085018,0.8769394329059272,0.01945467907167215,10.9265,0.0585,0.01,8.701,0.013,6,0.053298492,0.04690267,0.008581057,0.015294120639628775,4686.8,70.1,0.97,0.08,10.56,0.34,29.142,0.013,3.879,0.017,0.9952,0.0154,-0.06,3.852
8676094,29.46,0.71,3.588,0.031,4653,100,285.7719301535311,44.82081767073361,0.7314046705922741,0.022412105770038392,11.116082,0.136,0.01,8.765,0.021,6,0.032853544,0.028911117000000004,0.0052894205,0.03503680625085352,4592.7,65.6,1.26,0.12,12.15,0.42,28.351,0.009,3.562,0.007,1.0317,0.027,0.3,3.966
8676240,33.17,0.58,4.173,0.063,4660,80,285.8560268679625,44.84236074841086,0.3233400071132838,0.013251111255016634,13.061376,0.2033,0.01,10.685,0.023,6,0.03582044,0.031521987,0.0057670907,0.03841709411655414,4640.0,83.4,0.98,0.09,10.08,0.39,33.801,0.013,4.055,0.013,1.0045,0.0061,0.34,3.708
8676927,43.18,0.77,4.618,0.028,5082,100,286.23367604233624,44.85804878022579,1.1071406428154866,0.020932182458855524,10.1184435,0.3355,0.01,8.012,0.018000000000000002,6,0.029362462000000002,0.025838967,0.0047273566,0.01638794552199516,4874.4,78.4,1.68,0.13,11.32,0.31,42.238,0.009,4.615,0.011,0.9988,0.0111,-0.03,3.346
8676988,38.44,0.68,4.388,0.033,5090,100,286.268965512413,44.84702486985297,0.41186364767910494,0.018840554383272992,12.482335,0.0805,0.01,10.218,0.012,6,0.036740877000000005,0.03233197,0.005915281,0.027830724459617158,4802.8,75.6,1.45,0.11,11.14,0.32,38.392,0.012,4.338,0.014,1.0005,0.0056,0.2,3.469
8678018,32.43,0.46,4.145,0.029,4872,80,286.8494183173915,44.898718069816134,0.35275590362969395,0.024007919432019402,12.684813499999999,0.1407,0.01,10.489,0.014,6,0.06212461,0.054669656,0.010002061999999999,0.013630899367999829,4883.7,90.0,1.01,0.07,10.25,0.27,32.358,0.014,4.106,0.013,0.998,0.0058,-0.11,3.697
8682462,31.48,1.24,3.928,0.033,4843,80,289.1774519250556,44.81938328355636,0.357093073331582,0.025378779730930688,12.759282,0.043,0.01,10.520999999999999,0.014,10,0.051567383,0.045379296,0.008302349,0.010827408232687626,4870.7,85.3,1.14,0.15,11.06,0.51,31.588,0.012,3.949,0.009,0.9997,0.0144,-0.21,3.597
