KICID,BC_J,BC_H,BC_K,BC_GAIA
10001935,1.3769999999999998,1.84,1.9609999999999999,-0.037000000000000005
10002556,1.421,1.9180000000000001,2.05,-0.071
10005422,1.385,1.8880000000000001,2.003,-0.069
10005429,1.429,1.926,2.061,-0.073
10005966,1.504,2.0380000000000003,2.204,-0.141
10006158,1.45,1.954,2.0980000000000003,-0.087
10006548,1.456,1.963,2.109,-0.092
10007150,1.444,1.926,2.072,-0.071
10014635,1.33,1.778,1.885,-0.024
10014914,1.405,1.8719999999999999,2.003,-0.046
10018239,1.4909999999999999,2.019,2.1790000000000003,-0.127
10018973,1.494,2.006,2.1719999999999997,-0.12
10019961,1.4380000000000002,1.9380000000000002,2.077,-0.079
10023520,1.383,1.837,1.962,-0.031
10024484,1.3980000000000001,1.867,1.995,-0.045
10024786,1.456,1.9480000000000002,2.0980000000000003,-0.083
10026767,1.4709999999999999,1.989,2.14,-0.107
10063028,1.43,1.9380000000000002,2.0709999999999997,-0.08199999999999999
10065848,1.403,1.915,2.035,-0.078
10070717,1.4369999999999998,1.9340000000000002,2.073,-0.077
10071249,1.403,1.902,2.025,-0.068
10079987,1.464,1.994,2.1390000000000002,-0.111
10080974,1.368,1.821,1.94,-0.027000000000000003
10081951,1.4369999999999998,1.926,2.0669999999999997,-0.071
10082602,1.4809999999999999,1.9980000000000002,2.155,-0.114
10083313,1.4680000000000002,1.9769999999999999,2.129,-0.1
10083480,1.361,1.831,1.943,-0.040999999999999995
10086465,1.432,1.911,2.052,-0.064
10088768,1.462,1.949,2.103,-0.084
10090400,1.4869999999999999,1.982,2.147,-0.105
10093930,1.4880000000000002,1.9909999999999999,2.156,-0.111
10095244,1.3119999999999998,1.745,1.85,-0.012
10095438,1.4169999999999998,1.8980000000000001,2.031,-0.059000000000000004
10118422,1.403,1.86,1.993,-0.038
10130148,1.444,1.9509999999999998,2.0909999999999997,-0.086
10134740,1.391,1.8630000000000002,1.9869999999999999,-0.045
10154247,1.416,1.8980000000000001,2.03,-0.059000000000000004
10155731,1.413,1.879,2.0140000000000002,-0.048
10156307,1.42,1.8969999999999998,2.033,-0.057
10156576,1.4909999999999999,2.0140000000000002,2.175,-0.124
10158201,1.411,1.879,2.013,-0.048
10161092,1.432,1.892,2.0380000000000003,-0.052000000000000005
10186053,1.466,1.963,2.117,-0.092
10186608,1.436,1.935,2.073,-0.078
10188141,1.48,1.9709999999999999,2.134,-0.098
10188964,1.4580000000000002,1.944,2.097,-0.081
10189920,1.464,1.995,2.1390000000000002,-0.11199999999999999
10196797,1.411,1.911,2.037,-0.07
10200093,1.4480000000000002,1.95,2.094,-0.085
10201944,1.401,1.902,2.023,-0.069
10202324,1.419,1.9169999999999998,2.0469999999999997,-0.071
10206307,1.4080000000000001,1.901,2.0269999999999997,-0.064
10206840,1.412,1.9,2.029,-0.062
10214045,1.4680000000000002,1.996,2.144,-0.11199999999999999
10222079,1.413,1.8840000000000001,2.0180000000000002,-0.051
10222567,1.4180000000000001,1.901,2.0340000000000003,-0.06
10223204,1.426,1.915,2.051,-0.067
10224535,1.425,1.9080000000000001,2.044,-0.063
10226478,1.44,1.935,2.077,-0.077
10252281,1.426,1.909,2.046,-0.063
10252692,1.413,1.8880000000000001,2.021,-0.053
10254023,1.463,1.979,2.127,-0.102
