KICID,BC_J,BC_H,BC_K,BC_GAIA
10001935,1.365,1.818,1.936,-0.027000000000000003
10002556,1.41,1.896,2.025,-0.06
10005422,1.374,1.865,1.9780000000000002,-0.059000000000000004
10005429,1.4180000000000001,1.903,2.036,-0.062
10005966,1.494,2.015,2.178,-0.125
10006158,1.439,1.932,2.073,-0.075
10006548,1.445,1.94,2.084,-0.079
10007150,1.432,1.9040000000000001,2.0469999999999997,-0.059000000000000004
10014635,1.318,1.756,1.861,-0.016
10014914,1.393,1.85,1.979,-0.035
10018239,1.48,1.996,2.153,-0.11199999999999999
10018973,1.484,1.984,2.146,-0.106
10019961,1.4269999999999998,1.915,2.052,-0.067
10023520,1.371,1.815,1.9380000000000002,-0.022000000000000002
10024484,1.386,1.845,1.97,-0.035
10024786,1.445,1.925,2.072,-0.07
10026767,1.46,1.966,2.115,-0.094
10063028,1.419,1.916,2.046,-0.07
10065848,1.391,1.892,2.01,-0.067
10070717,1.426,1.912,2.048,-0.065
10071249,1.392,1.879,2.0,-0.057
10079987,1.453,1.9709999999999999,2.113,-0.098
10080974,1.3559999999999999,1.798,1.916,-0.019
10081951,1.426,1.903,2.042,-0.06
10082602,1.47,1.975,2.13,-0.099
10083313,1.4569999999999999,1.954,2.104,-0.087
10083480,1.349,1.808,1.919,-0.032
10086465,1.42,1.889,2.0269999999999997,-0.052000000000000005
10088768,1.452,1.926,2.0780000000000003,-0.071
10090400,1.476,1.959,2.122,-0.091
10093930,1.4780000000000002,1.9680000000000002,2.13,-0.096
10095244,1.2990000000000002,1.723,1.8259999999999998,-0.005
10095438,1.406,1.876,2.0069999999999997,-0.048
10118422,1.392,1.838,1.969,-0.027999999999999997
10130148,1.433,1.9280000000000002,2.066,-0.07400000000000001
10134740,1.379,1.84,1.962,-0.035
10154247,1.4040000000000001,1.875,2.005,-0.048
10155731,1.401,1.857,1.989,-0.037000000000000005
10156307,1.409,1.875,2.008,-0.046
10156576,1.4809999999999999,1.9909999999999999,2.149,-0.109
10158201,1.4,1.8559999999999999,1.9880000000000002,-0.037000000000000005
10161092,1.421,1.87,2.0140000000000002,-0.040999999999999995
10186053,1.455,1.9409999999999998,2.092,-0.079
10186608,1.425,1.913,2.048,-0.066
10188141,1.469,1.949,2.109,-0.084
10188964,1.4480000000000002,1.922,2.072,-0.068
10189920,1.453,1.972,2.113,-0.098
10196797,1.399,1.889,2.012,-0.06
10200093,1.4369999999999998,1.9280000000000002,2.069,-0.073
10201944,1.389,1.879,1.9980000000000002,-0.057999999999999996
10202324,1.4069999999999998,1.8940000000000001,2.022,-0.06
10206307,1.396,1.8780000000000001,2.002,-0.054000000000000006
10206840,1.4,1.8769999999999998,2.004,-0.051
10214045,1.4569999999999999,1.974,2.1180000000000003,-0.099
10222079,1.401,1.8619999999999999,1.993,-0.04
10222567,1.4069999999999998,1.8780000000000001,2.009,-0.049
10223204,1.415,1.892,2.026,-0.055
10224535,1.413,1.885,2.019,-0.051
10226478,1.429,1.913,2.052,-0.065
10252281,1.415,1.8869999999999998,2.022,-0.052000000000000005
10252692,1.402,1.8659999999999999,1.996,-0.043
10254023,1.452,1.9569999999999999,2.101,-0.08900000000000001
10257750,1.4669999999999999,1.963,2.117,-0.092
10266723,1.459,1.976,2.121,-0.1
10268744,1.482,1.992,2.1519999999999997,-0.11
10269537,1.432,1.912,2.052,-0.064
10279663,1.393,1.868,1.992,-0.048
10279676,1.37,1.82,1.9409999999999998,-0.027000000000000003
10280586,1.466,1.972,2.124,-0.09699999999999999
10281513,1.49,2.015,2.175,-0.124
10282002,1.479,1.979,2.1390000000000002,-0.102
10286378,1.4080000000000001,1.886,2.016,-0.054000000000000006
10286616,1.389,1.881,2.0,-0.06
10288611,1.413,1.871,2.008,-0.042
10290315,1.462,1.944,2.099,-0.081
10290457,1.4580000000000002,1.966,2.113,-0.094
10290535,1.381,1.85,1.97,-0.042
10328946,1.4340000000000002,1.9169999999999998,2.0580000000000003,-0.067
10331610,1.403,1.89,2.015,-0.059000000000000004
10332186,1.452,1.97,2.1109999999999998,-0.09699999999999999
10332753,1.4769999999999999,1.983,2.14,-0.10400000000000001
10346117,1.401,1.865,1.995,-0.042
10350302,1.4,1.8519999999999999,1.985,-0.034
10350408,1.391,1.84,1.97,-0.03
10351764,1.435,1.936,2.073,-0.079
10351792,1.515,2.023,2.202,-0.136
10352610,1.454,1.929,2.082,-0.07200000000000001
10353044,1.382,1.8519999999999999,1.973,-0.042
10355672,1.486,1.974,2.14,-0.1
10355764,1.419,1.895,2.031,-0.055999999999999994
10357764,1.432,1.906,2.048,-0.06
10358632,1.3969999999999998,1.879,2.003,-0.054000000000000006
10359816,1.3880000000000001,1.851,1.976,-0.038
10359999,1.3940000000000001,1.8519999999999999,1.9809999999999999,-0.036000000000000004
10362043,1.3519999999999999,1.8090000000000002,1.922,-0.03
10363172,1.423,1.89,2.031,-0.052000000000000005
10387935,1.405,1.899,2.023,-0.065
10394570,1.436,1.91,2.0540000000000003,-0.062
10395327,1.376,1.8430000000000002,1.9609999999999999,-0.04
