KICID,BC_J,BC_H,BC_K,BC_GAIA
10001935,1.38,1.8459999999999999,1.9669999999999999,-0.039
10002556,1.4240000000000002,1.9240000000000002,2.056,-0.07400000000000001
10005422,1.3880000000000001,1.8940000000000001,2.009,-0.07200000000000001
10005429,1.432,1.931,2.0669999999999997,-0.076
10005966,1.506,2.043,2.21,-0.145
10006158,1.453,1.96,2.104,-0.091
10006548,1.459,1.9680000000000002,2.115,-0.095
10007150,1.446,1.932,2.079,-0.07400000000000001
10014635,1.3330000000000002,1.784,1.891,-0.026000000000000002
10014914,1.4069999999999998,1.8780000000000001,2.01,-0.048
10018239,1.493,2.025,2.186,-0.131
10018973,1.496,2.012,2.178,-0.124
10019961,1.4409999999999998,1.943,2.083,-0.08199999999999999
10023520,1.386,1.8419999999999999,1.9680000000000002,-0.034
10024484,1.401,1.8730000000000002,2.001,-0.048
10024786,1.4580000000000002,1.953,2.104,-0.086
10026767,1.473,1.995,2.147,-0.111
10063028,1.433,1.944,2.077,-0.085
10065848,1.405,1.921,2.041,-0.081
10070717,1.44,1.94,2.079,-0.08
10071249,1.406,1.9080000000000001,2.031,-0.07
10079987,1.466,2.0,2.145,-0.115
10080974,1.371,1.8259999999999998,1.946,-0.03
10081951,1.44,1.931,2.074,-0.07400000000000001
10082602,1.484,2.004,2.162,-0.11699999999999999
10083313,1.4709999999999999,1.982,2.135,-0.10400000000000001
10083480,1.364,1.8359999999999999,1.949,-0.043
10086465,1.4340000000000002,1.9169999999999998,2.059,-0.067
10088768,1.465,1.954,2.11,-0.087
10090400,1.489,1.9869999999999999,2.154,-0.109
10093930,1.4909999999999999,1.9969999999999999,2.162,-0.114
10095244,1.315,1.751,1.8559999999999999,-0.013999999999999999
10095438,1.42,1.9040000000000001,2.0380000000000003,-0.062
10118422,1.406,1.865,1.999,-0.040999999999999995
10130148,1.4469999999999998,1.956,2.097,-0.08900000000000001
10134740,1.3940000000000001,1.868,1.993,-0.048
10154247,1.419,1.903,2.036,-0.062
10155731,1.416,1.8840000000000001,2.02,-0.05
10156307,1.423,1.902,2.039,-0.06
10156576,1.493,2.019,2.182,-0.128
10158201,1.4140000000000001,1.8840000000000001,2.019,-0.05
10161092,1.435,1.8980000000000001,2.045,-0.055
10186053,1.469,1.969,2.124,-0.096
10186608,1.439,1.9409999999999998,2.08,-0.081
10188141,1.482,1.9769999999999999,2.14,-0.10099999999999999
